City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,bontang,0.1333,117.5,25.89,88,98,4.68,ID,1729812407
176,motygino,58.1831,94.7592,-1.15,98,100,1.06,RU,1729812640
177,tura,25.5198,90.2201,19.9,97,100,2.81,IN,1729812641
178,fortuna,40.5982,-124.1573,18.29,53,0,5.66,US,1729812643
179,meiktila,20.8667,95.8667,22.99,92,37,1.49,MM,1729812645
180,greenville,35.6127,-77.3663,16.01,70,0,0.0,US,1729812417
181,kruisfontein,-34.0033,24.7314,14.83,83,35,6.15,ZA,1729812647
182,machico,32.7,-16.7667,21.35,71,20,3.6,PT,1729812648
183,prainha,-1.8,-53.48,28.38,58,100,1.61,BR,1729812650
184,sosnovo-ozerskoye,52.5249,111.5418,-9.92,80,19,1.57,RU,1729812651
185,broken hill,-31.95,141.4333,15.59,36,0,6.23,AU,1729812652
186,zhangatas,43.5667,69.75,7.34,49,2,3.91,KZ,1729812653
187,galliano,29.4422,-90.2992,23.0,73,0,0.0,US,1729812654
188,alotau,-10.3069,150.4462,28.5,81,99,1.53,PG,1729812655
189,asuncion nochixtlan,17.4667,-97.2333,14.3,87,70,2.49,MX,1729812657
190,kattivakkam,13.2167,80.3167,27.76,92,100,1.97,IN,1729812659
191,ponto novo,-10.8628,-40.1336,26.25,58,77,5.3,BR,1729812660
192,ar raqqah,35.95,39.0167,15.93,27,0,2.86,SY,1729812661
193,buka,40.8108,69.1986,10.76,62,0,2.51,UZ,1729812662
194,novyy urgal,51.0736,132.5642,0.25,59,95,2.56,RU,1729812664
195,iskateley,67.6803,53.1512,1.2,79,73,5.42,RU,1729812665
196,kailua-kona,19.6406,-155.9956,28.98,78,20,4.63,US,1729812666
197,hun,29.1268,15.9477,18.53,54,14,4.98,LY,1729812667
198,satuek,15.297,103.2919,23.31,100,46,0.51,TH,1729812668
199,howrah,22.5892,88.3103,25.0,94,100,6.17,IN,1729812669
200,tha kham,9.1107,99.2321,26.22,100,40,0.89,TH,1729812671
201,harrisburg,40.2737,-76.8844,13.96,56,0,2.57,US,1729812625
202,mersing,2.4312,103.8405,23.95,100,20,2.57,MY,1729812673
203,tsiombe,-25.3,45.4833,23.36,69,95,2.34,MG,1729812674
204,waterford,42.7023,-83.4027,10.68,62,9,1.14,US,1729812415
205,la esperanza,14.8667,-91.5667,15.04,85,96,2.06,GT,1729812676
206,dazhong,33.1997,120.4578,17.92,75,85,4.51,CN,1729812678
207,ramgarh,23.6333,85.5167,21.14,95,100,3.77,IN,1729812679
208,minot,48.2325,-101.2963,11.12,40,0,7.2,US,1729812411
209,florence,43.7667,11.25,17.83,94,40,1.03,IT,1729812681
210,wahpeton,46.2652,-96.6059,9.01,100,100,2.57,US,1729812580
211,xilin hot,43.9667,116.0333,7.07,65,60,1.69,CN,1729812684
212,lokomotivnyy,53.0118,60.5684,5.35,82,97,5.88,RU,1729812685
213,mount isa,-20.7333,139.5,28.87,20,1,6.17,AU,1729812686
